Virus,VirusTaxID
aesopia cornuta ranavirus,1390981
bobomene virus,1480698
rodent paramyxovirus lr10-73,1383926
rodent paramyxovirus lr11-99,1383927
rodent paramyxovirus mpr12-53,1383929
alphacoronavirus sp.,1906673
rodent paramyxovirus,1497434
bat alphacoronavirus,2419667
bat paramyxovirus,1300978
mastadenovirus sp.,2050578
mouyassue virus,1174522
paramyxovirus bat/gh36/2008,589522
agama adenovirus 1 rem-2013,1288350
avian coronavirus,694014
beak and feather disease virus,77856
aves polyomavirus 1,1891747
psittaciform 1 orthobornavirus,1548713
eastern equine encephalitis virus,11021
flanders hapavirus,1972612
ailuropoda melanoleuca polyomavirus 1,2560288
alphacoronavirus 1,693997
canine morbillivirus,11232
rotavirus a,28875
amdoparvovirus sp.,1908805
mammalian orthorubulavirus 5,2560580
polyomavirus sp.,36362
torque teno ursid virus 1,2846554
avian paraavulavirus 4,2560328
duck hepatitis b virus,12639
fowl aviadenovirus c,190063
pigeon circovirus,1414603
avipoxvirus isolate wisconsin,1294119
avipoxvirus sp.,1928336
pixuna virus,60876
rio negro virus,332097
hantavirus ac210py,497342
juquitiba virus,430511
torque teno rodent virus 2,2846546
akodon montensis polyomavirus,2163422
ape aime-itapua virus,700375
hantavirus 2063 biritiba mirim,587480
hantavirus 2071 biritiba mirim,587484
hantavirus akm6266,714974
hantavirus akm6903,714975
hantavirus akomo/rpr/07-10027/bra/2006,641886
hantavirus akomo/rpr/07-10028/bra/2006,641887
hantavirus strain akm6943,911298
itapua hantavirus,261204
jabora virus,436077
rodent protoparvovirus 3,2137545
rodent torque teno virus 4,2054611
rodent torque teno virus 5,2054612
torque teno rodent virus 3,2846547
araucaria virus,308159
hantavirus rpr/09-12460,1055451
laguna negra orthohantavirus,1980476
alces alces faeces associated circular virus mp65,2219143
alces alces faeces associated genomovirus mp111,2219111
alces alces faeces associated genomovirus mp146,2219112
alces alces faeces associated genomovirus mp43,2219114
alces alces faeces associated genomovirus mp68,2219115
alces alces faeces associated smacovirus mp78,2219142
caprine gammaherpesvirus 2,135102
cress virus sp.,2202563
deer atadenovirus a,2169706
gemycircularvirus alces1,2844411
gemycircularvirus alces2,2844412
orthohepevirus a,1678143
ovine gammaherpesvirus 2,10398
moosepox virus goldygopher14,2340996
highlands j virus,11024
avipoxvirus isolate spain,1294113
bagaza virus,64290
usutu virus,64286
primate t-lymphotropic virus 3,194443
simian foamy virus,11642
simian immunodeficiency virus,11723
enterovirus sp.,47681
simian mastadenovirus f,1986019
beilong jeilongvirus,2560345
alouatta caraya papillomavirus,2849141
howler monkey associated porprismacovirus 1,2170112
vaccinia virus,10245
yellow fever virus,11089
dyoomikronpapillomavirus 1,1513251
zika virus,64320
alouatta macconnelli cytomegalovirus,1881000
alouatta palliata cytomegalovirus,1881001
primate bocaparvovirus 1,1511871
primate erythroparvovirus 1,1511900
primate tetraparvovirus 1,1511913
howler monkey adenovirus 1,2358482
alouatta seniculus cytomegalovirus,1881002
manzanilla orthobunyavirus,1933304
common midwife toad virus,540070
frog virus 3,10493
portuguese newt and toad ranavirus,1585659
pyrrhula pyrrhula polyomavirus 1,1891751
borna disease virus,12455
psittacid alphaherpesvirus 1,50294
avian bornavirus,675389
psittacine atadenovirus a,2003673
avipoxvirus isolate new york,1294109
cacatuid alphaherpesvirus 2,2604840
deltacoronavirus b04,1697926
betanodavirus sp.,1906674
piscine novirhabdovirus,1980916
ambystoma tigrinum virus,265294
epizootic haematopoietic necrosis virus,100217
ictalurid herpesvirus 2,508441
ictalurid rhabdovirus,2137754
ictalurus melas ranavirus,56049
chaco sripuvirus,1985694
marco hapavirus,1972620
sena madureira sripuvirus,1985696
sena maduriera virus,1158193
timbo virus,1158191
aoudad malignant catarrhal fever virus,333343
clownfish picornavirus,2725395
lymphocystis disease virus 1,36363
clown fish nervous necrosis virus,1170232
anabas testudineus iridovirus,1492740
infectious pancreatic necrosis virus,11002
akhtuba virus,1539747
avastrovirus 1,1239437
avastrovirus 3,1239439
avian leukosis virus,11864
avian metaavulavirus 6,2560316
avian metaavulavirus 8,2560318
avian orthoavulavirus 9,2560326
gallid alphaherpesvirus 2,10390
reticuloendotheliosis virus,11636
avian metapneumovirus,38525
infectious bursal disease virus,10995
chestnut teal aalivirus,2759411
chestnut teal astrovirus,2798290
chestnut teal chaphamaparvovirus,2759402
chestnut teal chaphamaparvovirus 1,2759403
chestnut teal chaphamaparvovirus 2,2759404
chestnut teal chaphamaparvovirus 3,2759405
chestnut teal megrivirus,2759413
chestnut teal sicinivirus-like virus,2759416
rotavirus f,183405
avastrovirus 2,1239438
duck circovirus,324685
garrulus glandarius associated circular virus 1,2006642
avipoxvirus isolate texas,1294114
grey teal calicivirus,2592487
grey teal chaphamaparvovirus,2759408
grey teal gyrovirus,2798291
grey teal parvovirus,2592488
grey teal picobirnavirus x,2592489
grey teal picobirnavirus y,2592491
grey teal picobirnavirus z,2592490
rotavirus g,183407
aalivirus a,2169685
anatid alphaherpesvirus 1,104388
anser anser polyomavirus 1,1891746
anseriform dependoparvovirus 1,1511895
avian gyrovirus 13,2781374
avian orthoavulavirus 16,2560322
avian orthoreovirus,38170
avihepatovirus a,691956
avipoxvirus dx,1496300
avipoxvirus mz-2014,1569592
avipoxvirus td,1496301
avipoxvirus xl,1496299
duck associated circular virus vc9,2781378
duck associated cyclovirus 1,2006585
duck astrovirus 3,1897654
duck astrovirus gii.a,905828
duck atadenovirus a,130328
duck calicivirus 2,2605442
duck faeces associated circular dna virus 1,1843768
duck faeces associated circular dna virus 2,1843769
duck faeces associated circular dna virus 3,1843770
duck flavivirus strain yy5,1093105
duck genomovirus vc16,2781375
duck genomovirus vc17,2781376
duck infectious anemia virus,1400257
duck megrivirus,1350001
duck papillomavirus 3,2562546
duck ssdna virus,2781382
duck-associated chapparvovirus 1,2810802
goose circovirus,146032
gyrovirus 9,2781379
gyrovirus vc5,2781380
gyrovirus vc7,2781381
hepacivirus sp.,2202624
mallard associated gemycircularvirus 1,1985386
mallard associated gemygorvirus 1,1985426
mammalian 1 orthobornavirus,1714619
megrivirus a,2170004
parvovirus ah0225,2712699
rotavirus d,335100
tembusu virus,64293
turkey astrovirus,70793
duck-associated chapparvovirus,2810801
duck-associated chapparvovirus 2,2810803
adeno-associated virus,272636
aviadenovirus sp.,2217649
deltacoronavirus sp.,1911231
gammacoronavirus sp.,2163008
pacific black duck aalivirus,2759412
pacific black duck adeno-associated virus,2759417
pacific black duck anativirus-like virus,2759419
pacific black duck astrovirus,2798286
pacific black duck aveparvovirus,2759420
pacific black duck aviadenovirus,2798287
pacific black duck calicivirus,2798288
pacific black duck chaphamaparvovirus,2759406
pacific black duck chaphamaparvovirus 1,2759407
pacific black duck megrivirus,2592492
pacific black duck orthoreovirus,2798289
pacific black duck sicinivirus-like virus,2759415
chinese giant salamander virus,979227
ranavirus wd-2011,1093104
anguilla anguilla circovirus,1420600
anguillid herpesvirus 1,150286
anguillid perhabdovirus,1300113
eel circovirus,1941417
potamipivirus a,1914568
short-finned eel ranavirus,638660
anguillid herpesvirus 2,1743015
eel picornavirus eel/14980,2748307
eel picornavirus eel/31945,2748305
eel picornavirus eel/47626,2748308
japanese eel endothelial cells-infecting virus,712037
anguilla marmorata adomavirus 1,2175116
marbled eel polyomavirus,1662286
marbled eel reovirus,1689168
redspotted grouper nervous necrosis virus,43763
bueycito anole adomavirus,2609873
havana anole adomavirus,2609869
anolis carolinensis ranavirus,1585653
lizard adenovirus ib-2014,1458867
anolis adenovirus 1,1342749
anolis adenovirus 2,1342750
anolis sagrei adenovirus 1,2303005
anolis sagrei adenovirus 2,2303006
anolis sagrei adenovirus 3,2303007
anolis sagrei adenovirus 4,2303008
anolis sagrei adenovirus 5,2303009
anolis sagrei adenovirus 6,2303010
anolis sagrei adenovirus 7,2303011
anolis sagrei adenovirus 8,2303012
anolis sagrei ranavirus,1585654
adenovirus predict_adv-16,2710949
coronavirus predict cov-12,2042539
hantavirus 2319 biritiba mirim,587492
anoura geoffroyi gammaherpesvirus 1,2737702
anoura geoffroyi gammaherpesvirus a,2737703
coronavirus btcov/kcr24/ano_geo/crc/2010,1269302
coronavirus btcov/kcr289/ano_geo/crc/2010,1269305
coronavirus btcov/kcr291/ano_geo/crc/2010,1269306
coronavirus btcov/kcr293/ano_geo/crc/2010,1269307
cao bang orthohantavirus,1980464
hantavirus yn05-484,1093935
hantavirus yn05-494,1093936
hantavirus yn05-83,1093939
lianghe virus,1314973
shrew hepatitis b virus,2507572
xinyi virus,1405799
avian orthoavulavirus 13,2560321
circoviridae sp.,1954248
dependoparvovirus sp.,2052559
genomoviridae sp.,2202565
goose picornavirus 1,2079465
anser anser cress-dna-virus sp.,2815022
anser anser dependoparvovirus,2794569
anser anser genomoviridae sp.,2814938
antarctic picorna-like virus,2184269
goose adenovirus 5,1170688
goose astrovirus,1349999
goose aviadenovirus a,1193420
anser cygnoides coronavirus,1934040
goose pegivirus 1,2830620
goose pegivirus 2,2830621
reptile sunshinevirus 1,1884453
bornavirus sp.,2056257
serpentovirinae sp.,2661817
reptarenavirus sp.,2056255
hairy antennavirus,2560518
striated antennavirus,2560793
wenling fish alphavirus,2116464
xilang striavirus,2560844
atadenovirus sp.,2671518
avipoxvirus berthelot's pipit/porto santo/v5po/2006,565243
avian metaavulavirus 2,2560313
lumpy skin disease virus,59509
rift valley fever phlebovirus,1933187
springbok herpesvirus 1,299472
springbok herpesvirus 2,299473
avipoxvirus isolate mississippi,1294106
bluetongue virus,40051
pestivirus e,2170084
bovidae gammaherpesvirus 2,2716969
equid alphaherpesvirus 1,10326
orf virus,10258
coronavirus mex_cov-1,1289544
coronavirus mex_cov-5a,1289550
oriental small-clawed otter gammaherpesvirus,690695
gray-bellied night monkey adenovirus,2301505
aotus nancymaae cytomegalovirus,1881003
aotine betaherpesvirus 1,50290
pegivirus a,1307800
torque teno douroucouli virus,687383
torque teno virus,68887
aotus vociferans cytomegalovirus,1881004
aichivirus a,72149
anelloviridae sp.,2055263
apodemus agrarius picornavirus,2184393
apodemus agrarius rhadinovirus 1,308716
bocaparvovirus sp.,1883111
cardiovirus b,1821750
china rattus coronavirus hku24,2501960
coronavirus rcov/ks11_0997/apo_agr/ger/2011,1679909
coronavirus rcov/rmu10_620/apo_agr/ger/2010,1679920
dobrava-belgrade orthohantavirus,1980467
hantaan orthohantavirus,1980471
hantavirus a9,31618
hantavirus fl-2014,1571455
hantavirus leninskoe jao 449-44-15,1809451
hantavirus nmaa82,1677947
hantavirus seo,104542
jeilongvirus sp.,2686070
longquan aa mouse coronavirus,1508222
machupo mammarenavirus,11628
mogiana tick virus,1172985
murine mastadenovirus c,696859
norwalk virus,11983
orthohantavirus sp.,2022413
puumala orthohantavirus,1980486
rodent astrovirus,1914442
rodent coronavirus,2050018
rodent hantavirus,2050013
rodent hepatovirus,1745247
saaremaa hantavirus,159479
seoul orthohantavirus,1980490
wenzhou apodemus agrarius hepacivirus 1,2832079
chevrier mammarenavirus,2734415
coronavirus accov-jc34,1964806
coronavirus jc02,1964807
coronavirus jc66,1964810
coronavirus jc81,1964811
lucheng rn rat coronavirus,1508224
orthohepevirus c,1678145
rodent associated circovirus 2,2560709
rodent circovirus,2050016
rodent papillomavirus,2050020
hantavirus yn06-1024,1093941
hantavirus yn06-270,1093946
hantavirus yn06-282,1093947
hantavirus yn06-605,1093952
rodent associated circovirus 6,2560713
rodent pestivirus,2050021
akhmeta virus,2200830
apodemus flavicollis cytomegalovirus 1,431616
apodemus flavicollis cytomegalovirus 2,431617
apodemus flavicollis cytomegalovirus 3,456833
apodemus flavicollis polyomavirus 1,2170408
apodemus flavicollis rhadinovirus 1,398032
coronavirus rcov/d_rmu10_1087/apo_fla/ger/2010,1679884
coronavirus rcov/rmu10_3052/apo_fla/ger/2010,1679917
coronavirus rcov/rmu10_3147/apo_fla/ger/2010,1679918
hantavirus sp.,37741
murid gammaherpesvirus 4,33708
murine astrovirus,1141625
rodent paramyxovirus apo_fla/rmu10-1842/ger/2010,1112329
rodent paramyxovirus apo_fla/rmu10-3244/ger/2010,1112334
rodent paramyxovirus apo_fla/rmu10-3476/ger/2010,1112339
rodent paramyxovirus apo_fla/rmu10-751/ger/2010,1112685
rubivirus strelense,2846073
seewis orhtohantavirus,2560748
coronavirus jc30,1964808
hantavirus china/yn06,2558459
hantavirus yn05-324,1093932
amur virus,86782
apodemus peninsulae coronavirus,2794357
hantavirus nmap117,1677949
hantavirus nmap57,1677950
soochong virus,286540
hokkaido virus,1100878
apodemus sylvaticus cytomegalovirus 1,431619
encephalomyocarditis virus type 2,1214956
lymphocytic choriomeningitis mammarenavirus,11623
murid gammaherpesvirus 7,2170180
pipapillomavirus 2,1176145
rabbit hemorrhagic disease virus,11976
rodent paramyxovirus apo_syl/rmu10-2821/ger/2010,1112333
rodent torque teno virus 2,1514665
torque teno rodent virus 1,2846545
antarctic virus 3_iii_kpstasw010ad,2761180
antarctic virus 3_iii_kpstasw014ch,2761181
antarctic virus 3_iii_kpstasw016ch,2761182
antarctic virus 3_iii_kpstasw018ch,2761183
antarctic virus 3_iii_kpstasw019ch,2761184
antarctic virus 3_iv_kpstasw015ch,2761186
antarctic virus 4_i_kpstasw001ad,2761196
antarctic virus 4_i_kpstasw002ad,2761197
antarctic virus 4_i_kpstasw008ad,2761198
antarctic virus 4_i_kpstasw009ad,2761199
antarctic virus 4_i_kpstasw010ad,2761200
antarctic virus 4_ii_kpstasw004ad,2761189
antarctic virus 4_ii_kpstasw014ch,2761190
antarctic virus 4_ii_kpstasw015ch,2761191
antarctic virus 4_ii_kpstasw016ch,2761192
antarctic virus 4_ii_kpstasw017ch,2761193
antarctic virus 4_ii_kpstasw018ch,2761194
antarctic virus 4_ii_kpstasw019ch,2761195
antarctic virus 5_i_kpstasw001ad,2761201
antarctic virus 5_i_kpstasw002ad,2761202
antarctic virus 5_i_kpstasw004ad,2761203
antarctic virus 5_i_kpstasw008ad,2761204
antarctic virus 5_i_kpstasw009ad,2761205
antarctic virus 5_i_kpstasw018ch,2761206
antarctic virus 5_i_kpstasw020ch,2761207
apteryx rowi circovirus-like virus,1634476
ara ararauna aveparvovirus,2794555
ara ararauna chaphamaparvovirus,2794484
ara ararauna parvoviridae sp.,2794466
betacoronavirus 1,694003
psittaciform 2 orthobornavirus,1884878
avipoxvirus betim 1,1756707
ara severa parvoviridae sp.,2794467
nandayus nenday chaphamaparvovirus,2794493
nandayus nenday cress-dna-virus sp.,2815047
nandayus nenday genomoviridae sp.,2814968
parvovirus nih-cqv,1341019
tarsiger cyanurus parvoviridae sp.,2794540
psittacine siadenovirus 1,2737672
anellovirus fur seal/aaust58/br/2012,1659791
anellovirus fur seal/aaust59/br/2012,1659792
anellovirus fur seal/aaust60/br/2012,1659793
anellovirus fur seal/aaust62/br/2012,1676473
fur seal circovirus,2709239
hepevirus fur seal/aaust73/br/2012,1674928
otariid gammaherpesvirus 6,2859766
otariid herpesvirus 5,2211181
otariid herpesvirus 6,2152471
parvovirus fur seal/aaust53/br/2012,1659795
parvovirus fur seal/aaust54/br/2012,1659796
parvovirus fur seal/aaust55/br/2012,1659797
parvovirus fur seal/aaust56/br/2012,1659798
parvovirus fur seal/aaust57/br/2012,1659799
parvovirus fur seal/aaust63/br/2012,1676475
picobirnavirus fur seal/aaust29/br/2012,1659810
picobirnavirus fur seal/aaust30/br/2012,1659811
picobirnavirus fur seal/aaust31/br/2012,1659812
picobirnavirus fur seal/aaust33/br/2012,1659813
picobirnavirus fur seal/aaust64/br/2012,1676480
picornavirus fur seal/aaust34/br/2012,1659814
picornavirus fur seal/aaust35/br/2012,1659815
picornavirus fur seal/aaust36/br/2012,1659816
picornavirus fur seal/aaust37/br/2012,1659817
picornavirus fur seal/aaust38/br/2012,1659818
picornavirus fur seal/aaust39/br/2012,1659819
picornavirus fur seal/aaust65/br/2012,1676481
picornavirus fur seal/aaust66/br/2012,1676482
picornavirus fur seal/aaust67/br/2012,1676483
torque teno arctocephalus australis virus,2830920
unidentified adenovirus,10535
fur seal associated gemycircularvirus 1,1985380
fur seal faeces associated circular dna virus,1353241
fur seal picorna-like virus,2013564
grey sealpox virus,2734575
torque teno pinniped virus 6,2846532
torque teno pinniped virus 7,2846533
anellovirus fur seal/atrop52/br/2012,1659794
anellovirus fur seal/atrop72/br/2012,1676474
otariid gammaherpesvirus 5,2859765
otariid herpesvirus 7,2571165
parvovirus fur seal/atrop40/br/2012,1659800
parvovirus fur seal/atrop41/br/2012,1659801
parvovirus fur seal/atrop42/br/2012,1659802
parvovirus fur seal/atrop43/br/2012,1659803
parvovirus fur seal/atrop44/br/2012,1659804
parvovirus fur seal/atrop46/br/2012,1659805
parvovirus fur seal/atrop47/br/2012,1659806
parvovirus fur seal/atrop48/br/2012,1659807
parvovirus fur seal/atrop49/br/2012,1659808
parvovirus fur seal/atrop51/br/2012,1659809
parvovirus fur seal/atrop68/br/2012,1676476
parvovirus fur seal/atrop69/br/2012,1676477
parvovirus fur seal/atrop70/br/2012,1676478
parvovirus fur seal/atrop71/br/2012,1676479
picornavirus fur seal/atrop61/br/2012,1661747
rotavirus c,36427
sakobuvirus fur seal/atrop12/br/2012,1659783
sakobuvirus fur seal/atrop13/br/2012,1659784
sakobuvirus fur seal/atrop14/br/2012,1659785
sakobuvirus fur seal/atrop15/br/2012,1659786
sakobuvirus fur seal/atrop16/br/2012,1659787
sakobuvirus fur seal/atrop18/br/2012,1659788
sakobuvirus fur seal/atrop20/br/2012,1659789
sakobuvirus fur seal/atrop22/br/2012,1659790
sapovirus fur seal/atrop01/br/2012,1659820
sapovirus fur seal/atrop02/br/2012,1659821
sapovirus fur seal/atrop06/br/2012,1659822
sapovirus fur seal/atrop07/br/2012,1659823
heron hepatitis b virus,28300
virginian wcv avipoxvirus,365612
canarypox virus,44088
balagodu virus,2304618
ingwavuma orthobunyavirus,2560529
thimiri orthobunyavirus,1819305
blencathra virus,2776961
british admiral virus,2776966
bruthen virus,2776920
carnarvon virus,2776962
cataraqui virus,2776967
duck coronavirus 2714,2734510
loch leven virus,2776924
maypo virus,2776959
netherby virus,2776965
neva virus,2776960
pernambuco mycovirus 1,2565399
pernambuco virus,2565395
ruddy turnstone astrovirus,2565393
ruddy turnstone calicivirus,2565394
ruddy turnstone calicivirus a,2212768
ruddy turnstone calicivirus b,2212769
ruddy turnstone rotavirus,2212774
shorebird deltacoronavirus,2776968
waterwitch virus,2776963
whistler virus,2776964
piscine myocarditis virus tt-2012,1133752
pegivirus b,1307801
artibeus jamaicensis parvovirus 1,1131485
coronavirus btcov/kp256/art_jam/pan/2010,1269312
coronavirus btcov/kp524/art_jam/pan/2010,1269313
coronavirus btcov/kp565/art_jam/pan/2010,1269315
coronavirus mex_cov-4,1289549
coronavirus mex_cov-5b,1289551
marituba orthobunyavirus,1933307
porcine orthorubulavirus,2560645
artibeus lituratus adenovirus,2211153
artibeus lituratus betaherpesvirus,2781353
artibeus lituratus papillomavirus,2211154
artibeus lituratus parvovirus,2211152
bat coronavirus,1508220
bat coronavirus art.lit/1816/bra/2010,1897067
bat coronavirus art.lit/2064/bra/2011,1897068
bat coronavirus art.lit/2294/bra/2012,1897069
coronavirus bcov/pb675/art_lit/pan/2011,1269292
coronavirus btcov/kp534/art_lit/pan/2010,1269314
coronavirus mex_cov-11a,1289546
coronavirus mex_cov-11b,1289556
coronavirus predict cov-15,2042542
paramyxovirus predict_pmv-45,1647245
tacaribe mammarenavirus,11631
adenovirus predict_adv-13,2710946
coronavirus predict cov-11,2042538
paramyxovirus predict_pmv-34,1647234
artibeus planirostris gammaherpesvirus 1,2737704
artibeus planirostris papillomavirus,2109862
artibeus planirostris polyomavirus 1,1606497
artibeus planirostris polyomavirus 2,1606498
artibeus planirostris polyomavirus 3,1606499
astrovirus sp.,178530
coronavirus predict cov-4,2042565
herpesviridae sp.,2725057
paramyxovirus sp.,2697572
venezuelan equine encephalitis virus,11036
arundinax aedon parvoviridae sp.,2794465
paramyxovirus predict_pmv-143,2711060
paramyxovirus predict_pmv-172,2711088
arvicola terrestris cytomegalovirus 1,431620
tula orthohantavirus,1980494
aselliscus stoliczkanus coronavirus 172044,2856874
aselliscus stoliczkanus polyomavirus 1,2447800
bat bocavirus,1329649
bat coronavirus hku10,1244203
bat coronavirus hku6,393045
bat polyomavirus,1221637
dakrong virus,2304450
severe acute respiratory syndrome-related coronavirus,694009
asio otus herpesvirus,2489501
black-headed python circovirus 1,2304615
snake paramyxovirus,659372
carpet python nidovirus 1,2734627
astyanax tetra cavefish adintovirus,2609866
african pygmy hedgehog adenovirus 1,2591409
ateles belzebuth lymphocryptovirus 1,1093774
hepatitis b virus,10407
ateles fusciceps lymphocryptovirus 1,1093775
ateles geoffroyi lymphocryptovirus 1,1093776
ateles paniscus cytomegalovirus,1881005
ateles paniscus lymphocryptovirus 1,209266
ateles paniscus polyomavirus 1,1236391
red-faced spider monkey adenovirus,2301510
bush viper reovirus,1462685
reptilian orthoreovirus,226613
lagos bat lyssavirus,38766
bovine gammaherpesvirus 4,10385
baiomys poxvirus,2203081
bowhead whale adenovirus,2853733
cetacean poxvirus 2,318831
balaenoptera acutorostrata gammaherpesvirus 1,1758209
balaenoptera acutorostrata gammaherpesvirus 2,1758210
minke whale astrovirus 1,943160
minke whale astrovirus 2,943161
balaenoptera physalus alphaherpesvirus,1758211
cetacean morbillivirus,36410
adenovirus predict_adv-90,2558901
arenavirus sp.,41118
arteriviridae sp.,2697055
bandicota indica cytomegalovirus 1,431621
bandicota indica cytomegalovirus 2,431622
bandicota indica cytomegalovirus 3,431623
bandicota indica cytomegalovirus 4,431624
cardiovirus 05vz,1821743
cardiovirus 83gr,1821755
cardiovirus a,1821749
coronavirus rcov/tp3_22/ban_ind/tha/2005,1679922
hantavirus thailand 741,289236
hunnivirus 83gr,1821754
kobuvirus 05vz,1821745
kobuvirus 83gr,1821746
loei river mammarenavirus,1437126
longquan rl rat coronavirus,1508223
paramyxoviridae sp.,1663356
phenuiviridae sp.,2585232
rodent hepevirus,2126132
thailand orthohantavirus,1980492
astroviridae sp.,2585114
bandicota savilei rhadinovirus 1,398033
coronaviridae sp.,1986198
pestivirus sp.,31657
wenling banjofish astrovirus,2116415
wenling banjofish picornavirus 1,2116189
wenling banjofish picornavirus 2,2116190
bat astrovirus,1697918
barbel circovirus,759938
cyprinid herpesvirus 1,317858
avipoxvirus 3864,2019389
passeriform 1 orthobornavirus,1548720
dyolambdapapillomavirus 1,1513248
american bison gammaherpesvirus,175816
pestivirus a,2170080
pseudocowpox virus,129726
ungulate copiparvovirus 5,2734316
epsilonpapillomavirus 1,40537
pestivirus d,2170083
reptilian ferlavirus,122203
gaboon viper virus 1,1889242
reptilian paramyxovirus,156909
amphisbaenian adenovirus 1,1743020
camp ripley virus,460676
epizootic hemorrhagic disease virus,40054
blotched snakehead virus,311176
white bream reovirus,1026938
alethinophid 2 reptarenavirus,1653398
alethinophid 3 reptarenavirus,1653399
andere heimat virus-1,2707652
arabuta snake virus-1,2707725
aramboia boa virus-1,2707726
aurora borealis virus,1672381
aurora borealis virus 3,2447924
aurora borealis virus 4,2447933
boid arenavirus,1392101
frankfurter strasse virus-1,2707727
gaucho virus-1,2707730
giessen reptarenavirus,2170176
golden reptarenavirus,2170177
haartman hartmanivirus,2169909
haartman institute snake virus 2,2447922
hans kompis virus,1672382
herr frank virus-1,2707653
hipoen jatkoon virus,2301525
hipoen jatkoon virus 1,2447928
kaltenbach virus 1,2447926
keijut pohjoismaissa virus 1,2447927
kiva uusi kaarme virus 1,2447937
kuka mita hah virus 1,2448017
mista naita tulee virus 1,2448018
muikkunen hartmanivirus,2734411
ordinary reptarenavirus,2170178
peto jauhoksi virus,2301524
peto jauhoksi virus 1,2447934
porto alegre virus-1,2707728
rotterdam reptarenavirus,2170179
s10-like virus,2301526
s2-like reptarenavirus,2447936
s5-like reptarenavirus,1938918
s7-like reptarenavirus,2448019
saudades virus-1,2707729
schoolhouse hartmanivirus,2734412
setpatvet virus-1,2707651
snake atadenovirus a,1146872
snake deltavirus f18-5,2419666
snake nidovirus,1909409
suri vanera virus,1672383
suri vanera virus 1,2447929
suri vanera virus 2,2447939
tavallinen suomalainen mies virus 1,2447938
university of helsinki virus 3,2447932
university of helsinki virus-2,2707731
zurich hartmanivirus,2734413
boa constrictor papillomavirus 1,2294156
beihai mudskipper astro-like virus,2116128
bovine-like enterovirus,1790059
botrytis cinerea mitovirus 1,444193
botrytis cinerea mitovirus 2,1629665
botrytis cinerea mitovirus 3,1629666
botrytis cinerea mitovirus 4,1629667
botrytis cinerea negative-stranded rna virus 1,1629671
bovine alphaherpesvirus 1,10320
bovine astrovirus b18/hk,1027245
bovine torovirus,74501
deltapapillomavirus 4,337052
mammalian orthoreovirus,351073
nebovirus sp.,1986951
palyam virus,40059
pestivirus b,2170081
porcine circovirus-like virus p1,1506546
rinderpest morbillivirus,11241
sclerotinia sclerotiorum dsrna mycovirus-l,1181310
sclerotinia sclerotiorum mitovirus 3,1279099
ungulate bocaparvovirus 1,1511873
ungulate tetraparvovirus 1,1511914
yak enterovirus,1604871
yak kobuvirus,1604872
bovine leukemia virus,11901
hayes ephemerovirus,2844818
pestivirus h,2170087
picobirnavirus bovine/rubv-p/ind/2005,658402
xipapillomavirus 1,10561
